zeta=0.001,,zeta=0.005,,zeta=0.01,
X,Y,X,Y,X,Y
0.010469613259668508,0.001984924623115579,0.010138121546961327,0.005804020100502516,0.012790055248618783,0.01015912897822446
0.01792817679558011,0.002386934673366835,0.016602209944751384,0.006876046901172529,0.01925414364640884,0.011499162479061978
0.027209944751381217,0.0027889447236180906,0.025883977900552486,0.008015075376884423,0.027209944751381217,0.012772194304857622
0.03831491712707183,0.0030569514237855956,0.03533149171270719,0.008886097152428815,0.037154696132596685,0.014246231155778898
0.0480939226519337,0.003324958123953097,0.046436464088397786,0.009690117252931323,0.046767955801104974,0.015385259631490792
0.05671270718232044,0.0035259631490787285,0.057044198895027626,0.010561139028475715,0.05555248618784531,0.016457286432160805
0.06616022099447513,0.003659966499162483,0.06798342541436464,0.011097152428810722,0.06831491712707183,0.017529313232830825
0.07593922651933703,0.0038609715242881072,0.07759668508287293,0.011566164154103855,0.07593922651933703,0.01826633165829146
0.08604972375690609,0.004128978224455612,0.08654696132596686,0.011901172529313234,0.08256906077348067,0.018668341708542716
0.09417127071823206,0.0042629815745393665,0.09814917127071825,0.012437185929648244,0.09284530386740332,0.019472361809045227
0.09964088397790055,0.0042629815745393665,,,0.09914364640883978,0.019941373534338364
