zeta=0.001,,zeta=0.005,,zeta=0.01,
X,Y,X,Y,X,Y
3.469446951953614e-18,0.012987650899236265,0.0001515151515151525,0.012987804878048782,0.000303030303030305,0.013048934466617392
0.003636363636363639,0.012930370780980537,0.005606060606060604,0.013542128603104213,0.004696969696969696,0.014272912047302293
0.010909090909090906,0.013059712983493472,0.01727272727272727,0.014712521557033748,0.011060606060606059,0.016230598669623057
0.023333333333333334,0.013072339246119734,0.03121212121212121,0.015519370534614437,0.021212121212121206,0.018131159152500617
0.03439393939393939,0.013144555309189454,0.04409090909090907,0.016264166050751414,0.031969696969696954,0.019666481892091647
0.0468181818181818,0.013157181571815717,0.05545454545454544,0.016946446169007142,0.04530303030303029,0.021143446661739344
0.05787878787878786,0.013229397634885436,0.06530303030303028,0.017322308450357225,0.0562121212121212,0.022252094111850206
0.06924242424242422,0.013362897265336286,0.07636363636363634,0.018004280610987924,0.06909090909090908,0.023301767676767674
0.07863636363636362,0.013250492732200046,0.08893939393939392,0.018382914510963286,0.08030303030303028,0.024166820645479183
0.09075757575757573,0.013567689085981768,0.09833333333333331,0.018758314855875827,0.09272727272727271,0.024972129834934707
0.09924242424242422,0.01351533628972653,,,,
